pos_group,players,median_salary,median_vorp,total_salary,total_vorp,cost_per_vorp
Center,62,9.714285499999999,0.9608581843065906,921339385,78.87515402423911,11.6809836557259
Guard,150,7.687679,0.4684637622307119,2093299816,141.6916921667455,14.773624225876029
Power forward,71,10.449421,0.5442997609531992,1219732631,55.18239203072643,22.10365636779271
Small forward,65,10.001493,0.40473228468650474,960310064,61.909071554163894,15.51162115490345
