tier,players,median_salary,median_vorp,total_salary,total_vorp,cost_per_vorp
Under $5M,25,2.667944,0.421870678142702,77378480,18.597689178233356,4.1606502430723165
$5-15M,63,9.428571,0.7516891201257663,613003223,63.11698577219518,9.712175185495713
$15-30M,35,20.92376,1.095233119937484,754469107,45.87326356835943,16.44681560263758
$30-50M,30,40.77052,2.514912075002435,1186181930,87.14301029895121,13.611899863577195
Over $50M,9,50.3,3.5918072620575825,480991810,36.74186753533888,13.091109468983165
