age_band,players,median_salary,median_vorp,total_salary,total_vorp,cost_per_vorp
22 and under,108,5.2796970000000005,0.07822700354824132,849897330,62.950711893720104,13.500996326060372
23-25,101,10.044644,0.812560192658545,1543522002,105.3563246500006,14.650492100285991
26-28,68,14.132875,0.8944852821360167,1337515065,81.5337831609885,16.40442787205244
29-31,44,15.4010785,0.7927404771512109,926054349,50.44244281229167,18.35863406627765
32+,27,9.658536,0.9724310636028928,537693150,37.375047258874005,14.386420605055818
