pos_group,players,median_salary,median_vorp,total_salary,total_vorp,cost_per_vorp
Center,26,13.55,1.5709866636686032,473009151,49.94647075989711,9.470321802592453
Guard,69,12.258609,1.3295100658383334,1275803735,110.49864801907063,11.545876423572285
Power forward,30,18.946701,0.8677042187617088,661812289,36.17631555768723,18.29407662990625
Small forward,37,14.51748,1.4265752032520325,701399375,54.85138201642312,12.78726896598509
