tier,players,median_salary,median_vorp,total_salary,total_vorp,cost_per_vorp
Under $5M,111,2.584539,0.09616361788617886,328341532,42.66587228873759,7.695647935614141
$5-15M,124,8.715043999999999,0.5336937293608348,1147721236,90.03021596314176,12.748178194639403
$15-30M,55,20.194392,1.0112569524481962,1150335290,58.695236332967134,19.598443789788362
$30-50M,42,40.80615,2.0329392986032215,1680276019,96.88310766982418,17.343333212703595
Over $50M,16,57.078728,2.8380661857094758,888007819,49.383877521204276,17.981735407850675
