player,age,pos,team,years_left,salary_m,proj_vorp,surplus
Jake LaRavia,24,PF,LAL,1,6,0.55,6.8
Justin Edwards,22,SF,PHI,2,2.4,0.01,6.7
Jose Alvarado,27,PG,2TM,3,4.5,0.31,6.7
Sion James,23,SG,CHO,3,2.4,0,6.6
Nicolas Batum,37,PF,LAC,1,5.9,0.48,6.4
Landry Shamet,28,SG,NYK,4,5.4,0.39,6.3
Nae'Qwan Tomlin,25,PF,CLE,1,2.4,-0.04,6.3
Jamison Battle,24,SF,TOR,1,2.3,-0.06,6.3
Trendon Watford,25,PF,PHI,1,2.4,-0.05,6.3
Jabari Walker,23,PF,PHI,1,2.6,-0.04,6.1
Tyrese Proctor,21,PG,CLE,3,2.2,-0.11,6.1
Matas Buzelis,21,PF,CHI,2,5.7,0.41,6.1
Julian Champagnie,24,SF,SAS,3,13.9,1.61,6.1
Robert Williams,28,C,POR,3,14,1.62,6.1
Asa Newell,20,PF,ATL,3,3.4,0.06,6.1
Moussa Cisse,23,C,DAL,2,2.2,-0.12,6
Collin Sexton,27,SG,2TM,2,9.4,0.94,6
Tim Hardaway Jr.,33,SG,DEN,1,6.5,0.51,6
Keon Ellis,26,SG,2TM,2,8.8,0.84,5.9
Pete Nance,25,PF,MIL,2,2.5,-0.08,5.9
Jaylen Clark,24,SG,MIN,3,3.1,-0.01,5.9
Drew Eubanks,28,C,SAC,1,2.4,-0.11,5.8
Kyshawn George,22,SF,WAS,2,3.1,-0.03,5.7
Josh Okogie,27,SG,HOU,2,6,0.4,5.7
Day'Ron Sharpe,24,C,BRK,2,10,0.97,5.6
Maxime Raynaud,22,C,SAC,2,2.2,-0.2,5.5
Brandon Miller,23,SF,CHO,1,15.1,1.69,5.4
Jase Richardson,20,SG,ORL,3,3.1,-0.07,5.4
Ochai Agbaji,25,SG,2TM,1,2.4,-0.19,5.3
Anthony Gill,33,PF,WAS,1,2.4,-0.2,5.2
Yves Missi,21,C,NOP,2,3.5,-0.04,5.2
Dylan Harper,19,SG,SAS,3,13,1.35,5.2
Clint Capela,31,C,HOU,2,7,0.47,5.2
Svi Mykhailiuk,28,SF,UTA,2,3.9,-0.01,5.1
Mitchell Robinson,27,C,NYK,3,15,1.64,5.1
Dean Wade,29,PF,CLE,4,9,0.74,5.1
Johnny Furphy,21,SG,IND,2,2.3,-0.25,5.1
Danny Wolf,21,PF,BRK,3,2.9,-0.15,5.1
Josh Hart,30,SF,NYK,2,20.9,2.5,5.1
Terrence Shannon Jr.,25,SG,MIN,2,2.8,-0.18,5
Sam Merrill,29,SG,CLE,3,9.2,0.75,5
Adem Bona,22,C,PHI,2,2.3,-0.27,4.9
Bryce McGowens,23,SG,NOP,2,2.6,-0.23,4.9
Taurean Prince,31,SF,MIL,1,3.8,-0.05,4.9
Rasheer Fleming,21,PF,PHO,3,2.2,-0.31,4.8
Cole Anthony,25,PG,MIL,2,3.7,-0.08,4.8
T.J. McConnell,33,PG,IND,3,11,1,4.8
Deandre Ayton,27,C,LAL,1,8.1,0.56,4.7
Naji Marshall,28,SF,DAL,4,9.4,0.75,4.7
Precious Achiuwa,26,C,SAC,2,5.5,0.15,4.6
Gary Harris,31,SG,MIL,1,3.8,-0.09,4.6
Jamal Shead,23,PG,TOR,1,2.3,-0.32,4.6
Brook Lopez,37,C,LAC,1,9.2,0.7,4.6
Jared McCain,21,SG,2TM,2,4.4,-0.01,4.6
Bruce Brown,29,SG,DEN,1,2.4,-0.3,4.6
Jalen Johnson,24,SF,ATL,4,30,3.77,4.6
Jordan Clarkson,33,SG,NYK,1,2.4,-0.31,4.5
Kobe Sanders,23,SG,LAC,4,2.6,-0.31,4.3
Kris Murray,25,SF,POR,1,5.3,0.06,4.1
VJ Edgecombe,20,SG,PHI,3,11.7,1,4.1
Onyeka Okongwu,25,C,ATL,2,16.1,1.66,4.1
Dalton Knecht,24,SF,LAL,2,4.2,-0.1,4.1
Jaylen Wells,22,SG,MEM,2,2.3,-0.4,4
Aaron Wiggins,27,SG,OKC,3,9.2,0.6,3.9
Jericho Sims,27,C,MIL,1,2.8,-0.36,3.8
James Harden,36,PG,2TM,3,30.6,3.72,3.6
Jonathan Kuminga,23,PF,2TM,2,6.1,0.09,3.6
Kevin Huerter,27,SF,2TM,3,8.3,0.4,3.4
Isaiah Jackson,24,C,2TM,2,7,0.2,3.4
Daeqwon Plowden,27,SG,SAC,2,2.4,-0.49,3.3
Brice Sensabaugh,22,SF,UTA,1,4.9,-0.14,3.2
Jusuf Nurkić,31,C,UTA,2,10.6,0.69,3.1
Isaiah Collier,21,PG,UTA,2,2.8,-0.48,3
Tobias Harris,33,PF,DET,2,15,1.33,3
Quinten Post,25,PF,GSW,3,8.3,0.32,2.9
Nick Richards,28,C,2TM,1,2.4,-0.54,2.9
Jalen Smith,25,C,CHI,1,9.4,0.46,2.7
De'Anthony Melton,27,PG,GSW,2,5.5,-0.13,2.7
Egor Dëmin,19,PG,BRK,3,7.2,0.13,2.7
Ryan Nembhard,22,PG,DAL,1,2.2,-0.62,2.6
Julian Strawther,23,SG,DEN,1,4.8,-0.23,2.6
Marcus Smart,31,SG,LAL,2,6.1,-0.05,2.6
