rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
336,Thomas Bryant,28,CLE,C,60,732,0.1,0.4,thomas bryant,2449421,2.449421,Under $5M
337,Steven Adams,32,HOU,C,32,730,-0.5,0.3,steven adams,13000000,13,$5-15M
339,Tyler Kolek,24,NYK,PG,62,727,-0.6,0.3,tyler kolek,2296271,2.296271,Under $5M
340,Leonard Miller,22,2TM,SF,46,719,-1.3,0.1,leonard miller,2406205,2.406205,Under $5M
341,Grant Williams,27,CHO,PF,36,711,1.6,0.7,grant williams,14265750,14.26575,$5-15M
342,Nick Richards,28,2TM,C,48,701,-6.1,-0.7,nick richards,2449421,2.449421,Under $5M
344,Devin Carter,23,SAC,PG,38,700,-2.6,-0.1,devin carter,7607501,7.607501,$5-15M
346,Jordan Hawkins,23,NOP,SG,51,692,-6.2,-0.7,jordan hawkins,7021895,7.021895,$5-15M
347,Rasheer Fleming,21,PHO,PF,55,673,-3.8,-0.3,rasheer fleming,2150917,2.150917,Under $5M
351,Tre Mann,24,CHO,PG,53,669,-5.3,-0.5,tre mann,8000000,8,$5-15M
352,Gary Harris,31,MIL,SG,48,661,-2.5,-0.1,gary harris,3815861,3.815861,Under $5M
354,Jamaree Bouyea,26,PHO,PG,46,644,-0.4,0.3,jamaree bouyea,2584539,2.584539,Under $5M
355,Johnny Furphy,21,IND,SG,35,643,-3.7,-0.3,johnny furphy,2296271,2.296271,Under $5M
356,Mohamed Diawara,20,NYK,SF,69,634,-1.7,0,mohamed diawara,2232143,2.232143,Under $5M
357,Zeke Nnaji,25,DEN,PF,52,626,-3.5,-0.3,zeke nnaji,7466667,7.466667,$5-15M
358,Anthony Davis,32,DAL,PF,20,626,2.4,0.7,anthony davis,58456566,58.456566,Over $30M
359,Dorian Finney-Smith,32,HOU,PF,37,620,-4.3,-0.4,dorian finney smith,13335000,13.335,$5-15M
362,Taurean Prince,31,MIL,SF,26,611,-3.1,-0.2,taurean prince,3815861,3.815861,Under $5M
363,Jase Richardson,20,ORL,SG,54,587,-2.5,-0.1,jase richardson,3132360,3.13236,Under $5M
364,Tidjane Salaün,20,CHO,PF,37,575,-0.8,0.2,tidjane salaun,8237880,8.23788,$5-15M
365,Ja Morant,26,MEM,PG,20,569,-1.5,0.1,ja morant,42166510,42.16651,Over $30M
366,Domantas Sabonis,29,SAC,C,19,564,0.6,0.4,domantas sabonis,45472000,45.472,Over $30M
367,Dalton Knecht,24,LAL,SF,54,553,-3.6,-0.2,dalton knecht,4201080,4.20108,Under $5M
368,Drew Eubanks,28,SAC,C,42,552,-3.7,-0.2,drew eubanks,2449421,2.449421,Under $5M
369,Dalen Terry,23,2TM,SG,48,551,-1.7,0,dalen terry,1357763,1.357763,Under $5M
370,Tyrese Proctor,21,CLE,PG,50,545,-2.8,-0.1,tyrese proctor,2150917,2.150917,Under $5M
372,Terrence Shannon Jr.,25,MIN,SG,43,538,-3.6,-0.2,terrence shannon,2801640,2.80164,Under $5M
374,Moussa Cisse,23,DAL,C,38,530,-2.9,-0.1,moussa cisse,2185116,2.185116,Under $5M
375,Cole Anthony,25,MIL,PG,35,527,-4.7,-0.4,cole anthony,3700000,3.7,Under $5M
376,Jayson Tatum,27,BOS,PF,16,522,4.8,0.9,jayson tatum,58456566,58.456566,Over $30M
377,Jonathan Isaac,28,ORL,PF,52,521,-1.6,0.1,jonathan isaac,10449421,10.449421,$5-15M
378,Jamison Battle,24,TOR,SF,61,517,-2.6,-0.1,jamison battle,2296271,2.296271,Under $5M
379,Asa Newell,20,ATL,PF,44,500,-1.5,0.1,asa newell,3399480,3.39948,Under $5M
