rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
131,Cam Spencer,25,MEM,SG,72,1714,2.2,1.8,cam spencer,2411090,2.41109,Under $5M
132,Kel'el Ware,21,MIA,C,77,1704,2.1,1.8,kelel ware,4654920,4.65492,Under $5M
133,Dillon Brooks,30,PHO,SF,56,1702,-2.3,-0.1,dillon brooks,19992727,19.992727,$15-30M
134,Dennis Schröder,32,2TM,PG,70,1697,-2.2,-0.1,dennis schroder,14809200,14.8092,$5-15M
135,Isaac Okoro,25,CHI,SG,63,1695,-3.8,-0.8,isaac okoro,11814814,11.814814,$5-15M
136,Jerami Grant,31,POR,PF,57,1695,0,0.9,jerami grant,34206898,34.206898,Over $30M
137,Dominick Barlow,22,PHI,PF,71,1689,-1.1,0.4,dominick barlow,3415000,3.415,Under $5M
138,Michael Porter Jr.,27,BRK,SF,52,1689,3,2.1,michael porter,40806150,40.80615,Over $30M
139,Luke Kennard,29,2TM,SG,78,1681,0.1,0.9,luke kennard,6064000,6.064,$5-15M
140,Cameron Johnson,29,DEN,SF,54,1647,-0.6,0.6,cameron johnson,23062500,23.0625,$15-30M
141,Brook Lopez,37,LAC,C,75,1635,-0.9,0.5,brook lopez,9187500,9.1875,$5-15M
142,Will Riley,19,WAS,SF,74,1633,-4.5,-1,will riley,3688320,3.68832,Under $5M
143,Cody Williams,21,UTA,SG,67,1631,-5.5,-1.5,cody williams,6015600,6.0156,$5-15M
144,Bennedict Mathurin,23,2TM,SF,54,1620,-2.5,-0.2,bennedict mathurin,7804878,7.804878,$5-15M
145,Bobby Portis,30,MIL,PF,67,1619,0,0.8,bobby portis,14521414,14.521414,$5-15M
146,Collin Sexton,27,2TM,SG,68,1614,0.6,1.1,collin sexton,9366000,9.366,$5-15M
147,Cedric Coward,22,MEM,SG,62,1598,-0.2,0.7,cedric coward,6001080,6.00108,$5-15M
148,Peyton Watson,23,DEN,SF,54,1598,-1.2,0.3,peyton watson,20465116,20.465116,$15-30M
149,Herbert Jones,27,NOP,SF,56,1588,-3.1,-0.5,herbert jones,14898786,14.898786,$5-15M
150,Jalen Suggs,24,ORL,PG,57,1574,2.5,1.8,jalen suggs,32400000,32.4,Over $30M
151,Kelly Oubre Jr.,30,PHI,SF,50,1574,-1.4,0.2,kelly oubre,8050000,8.05,$5-15M
