key,source,source_url,raw_file,accessed_at,bytes
advanced_2026,Basketball-Reference,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,bbref_advanced_2026.html,2026-09-20 23:59:26 EDT,2184312
advanced_2025,Basketball-Reference,https://www.basketball-reference.com/leagues/NBA_2025_advanced.html,bbref_advanced_2025.html,2026-09-20 23:59:31 EDT,2165316
contracts,Basketball-Reference,https://www.basketball-reference.com/contracts/players.html,bbref_contracts_players.html,2026-09-20 23:59:35 EDT,518068
